a2ps	4.14	Any-to-PostScript filter
flvmeta	v1.1.2	Manipulate Adobe flash video files (FLV)
flvstreamer	2.1c1	Stream audio and video from flash & RTMP Servers
flyway	3.2.1	Database version control to control migrations
fmdiff	20150915	Use FileMerge as a diff command for Subversion and Mercurial
fobis	1.7.4	KISS build tool for automaticaly building modern Fortran projects.
folly	v0.48.0	Collection of reusable C++ library artifacts developed at Facebook
fon-flash-cli	1.8.0	Flash La Fonera and Atheros chipset compatible devices
fondu	060102	Tools to convert between different font formats
fontconfig	2.11.1	XML-based font configuration API for X Windows
fontforge	20150824	Command-line outline and bitmap font editor/converter
fonttools	3.0	FontTools is a library for manipulating fonts
fop	2.0	XSL-FO print formatter for making PDF or PS documents
ford	4.2.3	Automatic documentation generator for modern Fortran programs
forego	v0.16.1	Foreman in Go
foremost	1.5.7	Console program to recover files based on their headers and footers
fortune	9708	Infamous electronic fortune-cookie generator
fossil	1.33	Distributed software configuration management
fourstore	v1.1.5	Efficient, stable RDF database
fpc	2.6.4	Free Pascal: multi-architecture Pascal compiler
fping	3.10	Scriptable ping program for checking if multiple hosts are up
fpp	0.6.2	CLI program that accepts piped input and presents files for selection
fq	v0.9.2	Brokered message queue optimized for performance
frag_find	1.0.0	Hash-based carver tool (formerly 'NPS Bloom Filter package')
fragroute	1.2	Intercepts, modifies and rewrites egress traffic for a specified host
freealut	1.1.0	Implementation of OpenAL's ALUT standard
freediameter	1.2.0	Open source Diameter (Authentication) protocol implementation
freeimage	3.17.0	Library for FreeImage, a dependency-free graphics library
freeipmi	1.4.9	In-band and out-of-band IPMI (v1.5/2.0) software
freeling	3.1	Suite of language analyzers
freeradius-server	3.0.9	High-performance and highly configurable RADIUS server
freeswitch	v1.4.21	Telephony platform to route various communication protocols
freetds	0.95.19	Libraries to talk to Microsoft SQL Server and Sybase databases
freetype	2.6	Software library to render fonts
freexl	1.0.2	Library to extract data from Excel .xls files
frege	3.22.524-gcc99d7e	Non-strict, functional programming language in the spirit of Haskell
frei0r	1.4	Minimalistic plugin API for video effects
frescobaldi	2.18.1	LilyPond sheet music text editor
fribidi	0.19.7	Implementation of the Unicode BiDi algorithm
fsevent_watch	v0.1	OS X FSEvents client
fsh	1.2	Provides remote command execution
fsharp	v3.1.2.4	F#, a functional-first programming language
fsw	1.3.9	File change monitor with multiple backends
fswatch	1.5.1	Monitor a directory for changes and run a shell command
ftgl	2.1.3rc5	Freetype / OpenGL bridge
ftimes	3.11.0	System baselining and evidence collection tool
ftjam	2.5.2	Build tool that can be used as a replacement for Make
fugu	v1.1.1	Docker command wrapper.
funcoeszz	15.5	Dozens of command-line mini-applications (Portuguese)
fuseki	1.1.2	SPARQL server
fuzzy-find	v0.6	Fuzzy filename finder matching across directories as well as files
fwknop	2.6.7	Single Packet Authorization and Port Knocking
fzf	0.10.5	Fuzzy finder for your shell
g2	v1.1	Friendly git client
gabedit	2.4.8	GUI to computational chemistry packages like Gamess-US, Gaussian, etc.
gaffitter	1.0.0	Efficiently fit files/folders to fixed size volumes (like DVDs)
galen	2.1.2	Automated testing of look and feel for responsive websites
gambit-scheme	v4_7_9	Complete, portable implementation of Scheme
game-music-emu	0.6.0	Videogame music file emulator collection
gammaray	2.3.0	Examine and manipulate Qt application internals at runtime
gammu	1.36.5	Command-line utility to control a phone
ganglia	3.7.1	Ganglia monitoring client
garmintools	0.10	Interface to the Garmin Forerunner GPS units
gauche	0.9.4	R5RS Scheme implementation, developed to be a handy script interpreter
gauge	v0.1.8	Test automation tool that supports executable documentation
gaul	0.1850-0	Genetic Algorithm Utility Library
gawk	4.1.3	GNU awk utility
gbdfed	1.6	Bitmap Font Editor
gcab	0.4	Windows installer (.MSI) tool
gcal	4	Gcal is a program for calculating and printing calendars
gcc	7.3.0	GNU compiler collection
gcc44	4.4.7	GNU compiler collection
gcc45	4.5.4	GNU compiler collection
gcc46	4.6.4	GNU compiler collection
gcc47	4.7.4	GNU compiler collection
gcc48	4.8.5	GNU compiler collection
gcc49	4.9.3	The GNU Compiler Collection
gcc5	5.4.0	The GNU Compiler Collection
gcc6	6.2.0	The GNU Compiler Collection
gconf	3.2.6	GConf is a system for storing user application preferences
gcore	1.3	Produce a snapshot (core dump) of a running process
gcovr	3.2	Reports from gcov test coverage program
gcutil	1.16.1	Manage your Google Compute Engine resources
gd	2.1.1	Graphics library to dynamically manipulate images
gdal	1.11.2	GDAL: Geospatial Data Abstraction Library
gdal-grass	1.4.3	Geospatial Data Abstraction Library
gdbm	1.11	GNU database manager
gdk-pixbuf	2.32.1	Toolkit for image loading and pixel buffer manipulation
gdl	3.18.0	GNOME Docking Library provides docking features for GTK+ 3
gdmap	0.8.1	Tool to inspect the used space of folders
gdnsd	2.2.1	Authoritative-only DNS server
gdrive	1.6.1	Google Drive CLI Client
gearman	1.1.12	Application framework to farm out work to other machines or processes
gecode	4.4.0	Toolkit for developing constraint-based systems and applications
gedit	3.16.3	The GNOME text editor
gegl	0.3.0	Graph based image processing framework
genders	1.20	Static cluster configuration database for cluster management
gengetopt	2.22.6	Generate C code to parse command-line arguments via getopt_long
genstats	1.2	Generate statistics about stdin or textfiles
geocode-glib	3.18.0	GNOME library for gecoding and reverse geocoding
geocouch	1.3.0	Spatial index for CouchDB
geogit	0.10.0	Distributed version control for geospatial data
geographiclib	1.45	C++ geography library
geoip	v1.6.6	GeoIP databases in a number of formats
geoipupdate	2.2.1	Automatic updates of GeoIP2 and GeoIP Legacy databases
geos	3.4.2	GEOS Geometry Engine
geoserver	2.7.1.1	Java server to share and edit geospatial data
get-flash-videos	1.24	Download or play videos from various Flash-based websites
getdns	0.3.1	Modern asynchronous DNS API
getmail	4.48.0	Extensible mail retrieval system with POP3, IMAP4, SSL support
gettext	0.19.8.1	GNU internationalization (i18n) and localization (l10n) library
getxbook	1.2	Tools to download ebooks from various sources
gexiv2	0.10.3	GObject wrapper around the Exiv2 photo metadata library
gflags	v2.1.2	Library for processing command-line flags
gforth	0.7.3	Implementation of the ANS Forth language
gh	v2.1.0	GitHub command-line client
ghc	7.10.2	Glorious Glasgow Haskell Compilation System
ghex	3.10.1	GNOME hex editor
ghi	0.9.3	Work on GitHub issues on the command-line
ghostscript	9.19	Interpreter for PostScript and PDF
ghq	v0.7.1	Remote repository management made easy
gibbslda	0.2	Library wrapping imlib2's context API
gibo	1.0.4	Access GitHub's .gitignore boilerplates
gif2png	2.5.10	Convert GIFs to PNGs.
gifify	v3.0	Turn movies into GIFs
giflib	4.2.3	GIF library using patented LZW algorithm
giflossy	1.82.1	Lossy LZW compression, reduces GIF file sizes by 30-50%
gifsicle	1.88	GIF image/animation creator/editor
gimme	v0.2.4	Shell script to install any Go version
ginac	1.6.4	GiNaC is Not a Computer algebra system
gist	v4.4.2	Command-line utility for uploading Gists
gistit	v0.1.3	Command-line utility for creating Gists
git	2.10.2	Distributed revision control system
git-annex	5.20150916	Manage files with git without checking in file contents
git-archive-all	1.12	Archive a project and its submodules
git-cal	v0.9.1	GitHub-like contributions calendar but on the command-line
git-cola	v2.3	Highly caffeinated git GUI
git-crypt	0.5.0	Enable transparent encryption/decryption of files in a git repo
git-encrypt	0.3.2	Transparent git encryption
git-extras	3.0.0	Small git utilities
git-fixup	v1.0.1	Alias for git commit --fixup <ref>
git-flow	0.4.1	Extensions to follow Vincent Driessen's branching model
git-flow-avh	1.8.0	AVH edition of git-flow
git-ftp	1.0.2	Git-powered FTP client
git-gerrit	v0.3.0	Gerrit code review helper scripts
git-hooks	1.00.0	Manage project, user, and global Git hooks
git-imerge	0.7.0	Incremental merge for git
git-integration	v0.3	Manage git integration branches
git-lfs	v0.6.0	Git extension for versioning large files
git-multipush	2.3	Push a branch to multiple remotes in one command
git-now	v0.1.1.0	Light, temporary commits for git
git-number	1.0.0a	Use numbers for dealing with files in git
git-octopus	v1.1	Extends git-merge with branch naming patterns
git-open	v1.1	Open GitHub webpages from a terminal
git-plus	v0.1.0	Three git utilities: git multi, git relation, git old-branches
git-review	1.25.0	Submit git branches to gerrit for review
git-sh	1.3	Customized Bash environment for git work
git-ssh	v0.2.0	Proxy for serving git repositories over SSH
git-stree	0.4.5	Git subtree helper command
git-subrepo	0.2.3	Git Submodule Alternative
git-test	v1.0.1	Run tests on each distinct tree in a revision list
git-tf	2.0.3.20131219	Share changes between TFS and git
git-town	v0.7.3	High-level command-line interface for Git
git-tracker	v1.6.3	Integrate Pivotal Tracker into git use
git-url-sub	1.0.1	Recursively substitute remote URLs for multiple repos
gitbucket	3.6	GitHub clone
giter8	0.6.8	Generate files and directories from templates in a git repo
github-release	v0.5.3	Create and edit releases on Github (and upload artifacts)
gitslave	2.0.2	Create group of related repos with one as superproject
gitup	v0.3	Update multiple git repositories at once
gjstest	v1.0.1	Fast javascript unit testing framework that runs on the V8 engine.
gl2ps	1.3.8	OpenGL to PostScript printing library
glassfish	4.1	Java EE application server
glbinding	v1.0.4	C++ binding for the OpenGL API
glew	1.12.0	OpenGL Extension Wrangler Library
glib	2.50.1	Core application library for C
glib-networking	2.46.0	Network related modules for glib
glibmm	2.44.0	C++ interface to glib
glide	0.6.1	Simplified Go project management, dependency management, and vendoring
glm	0.9.7.1	C++ mathematics library for graphics software
global	6.5.1	Source code tag system
globe	0.0.20140814	Prints ASCII graphic of currently-lit side of the Earth
globus-toolkit	6.0	Toolkit used for building grids
glog	v0.3.4	Application-level logging library
gloox	1.0.12	C++ Jabber/XMPP library that handles the low-level protocol
glui	2.36	C++ user interface library
gmail-backup	20110307	Backup and restore the content of your Gmail account
gmediaserver	0.13.0	UPnP Mediaserver
gmime	2.6.20	MIME mail utilities
gmp	6.1.2	GNU multiple precision arithmetic library
gmp4	4.3.2	GNU multiple precision arithmetic library
gmtl	0.6.1	Lightweight math library
gnatsd	v0.6.0	Lightweight cloud messaging system
gnome-common	3.14.0	Core files for GNOME
gnome-doc-utils	0.20.10	Documentation utilities for the GNOME project
gnome-icon-theme	3.16.2.1	Icons for the GNOME project
gnome-themes-standard	3.16.2	Default themes for the GNOME desktop environment
gnu-apl	1.4	GNU implementation of the programming language APL
gnu-barcode	0.99	Convert text strings to printed bars
gnu-cobol	1.1	Implements much of the COBOL 85 and COBOL 2002 standards
gnu-getopt	1.1.6	Command-line option parsing library
gnu-indent	2.2.10	C code prettifier
gnu-prolog	1.4.4	Prolog compiler with constraint solving
gnu-sed	4.2.2	GNU implementation of the famous stream editor
gnu-smalltalk	3.2.5	GNU Smalltalk interpreter and image
gnu-tar	1.28	GNU version of the tar archiving utility
gnu-time	1.7	GNU implementation of time utility
gnu-typist	2.9.5	GNU typing tutor
gnu-units	2.02	GNU unit conversion tool
gnu-which	2.21	GNU implementation of which utility
gnupg	1.4.19	GNU Pretty Good Privacy (PGP) package
gnupg-pkcs11-scd	0.7.3	Enable the use of PKCS#11 tokens with GnuPG
gnupg2	2.0.29	GNU Privacy Guard: a free PGP replacement
gnuplot	5.0.1	Command-driven, interactive function plotting
gnuradio	3.7.8	SDK providing the signal processing runtime and processing blocks
gnustep-make	2.6.6	Basic GNUstep Makefiles
gnutls	3.3.18	GNU Transport Layer Security (TLS) Library
go	1.5.1	Go programming environment
goaccess	0.9.4	Log analyzer and interactive viewer for the Apache Webserver
gobject-introspection	1.44.0	Generate interface introspection data for GObject libraries
gocr	0.50	Optical Character Recognition (OCR), converts images back to text
goffice	0.10.23	Gnumeric spreadsheet program
gollum	v0.3.2	n:m message multiplexer written in Go
golo	2.1.0	Lightweight dynamic language for the JVM
goocanvas	2.0.2	Canvas widget for GTK+ using the Cairo 2D library for drawing
google-benchmark	v0.1.0	C++ microbenchmark support library
google-sparsehash	2.0.2	Extremely memory-efficient hash_map implementation
google-sql-tool	r10	Command-line tool for executing common SQL statements
goolabs	0.2.2	Command-line tool for morphologically analyzing Japanese language
gor	0.9.8	Real-time HTTP traffic replay tool written in Go
gost	1.1.1	Simple command-line utility for easily creating Gists for Github.
gosu	0.10.3	Pragmatic language for the JVM
gotags	v1.3.0	ctags-compatible tag generator for Go
gource	0.43	Version Control Visualization Tool
gpac	v0.5.2	Multimedia framework for research and academic purposes
gperftools	2.4	Multi-threaded malloc() and performance analysis tools
gpg-agent	2.0.29	GPG key agent
gpgme	1.6.0	Library access to GnuPG
gphoto2	2.5.1	Command-line interface to libgphoto2
gplcver	2.12a	Pragmatic C Software GPL Cver 2001
gpm	v1.3.2	Barebones dependency manager for Go
gpp	2.24	General-purpose preprocessor with customizable syntax
gprof2dot	2015.02.03.	Convert the output from many profilers into a Graphviz dot graph.
gpsbabel	1.5.2	GPSBabel converts/uploads GPS waypoints, tracks, and routes
gpsd	3.9	Global Positioning System (GPS) daemon
gpsim	0.28.1	Simulator for Microchip's PIC microcontrollers
gptfdisk	1.0.0	Text-mode partitioning tools
gptsync	0.14	GPT and MBR partition tables synchronization tool
gputils	1.4.0-1	GNU PIC Utilities
gqlplus	1.15	Drop-in replacement for sqlplus, an Oracle SQL client
gqview	2.0.4	GQview image browser
gradle	2.7	Build system based on the Groovy language
grails	3.0.7	Web application framework for the Groovy language
grap	1.45	Language for typesetting graphs
graphene	1.2.10	Thin layer of graphic data types
graphicsmagick	1.3.21	Image processing tools collection
graphite2	1.3.2	Smart font renderer for non-Roman scripts
graphviz	2.38.0	Graph visualization software from AT&T and Bell Labs
grass	6.4.4	Geographic Resources Analysis Support System
grc	1.9	Colorize logfiles and command output
grep	3.0	GNU grep, egrep and fgrep
grepcidr	2.0	Filter IP addresses matching IPv4 CIDR/network specification
grib-api	1.14.0	Encode and decode grib messages (editions 1 and 2)
griffon	1.5.0	Application framework for desktop applications in the JVM
gringo	4.5.2	Grounder to translate user-provided logic programs
grip	4.5.2	GitHub Markdown previewer
grok	v0.9.2	Powerful pattern-matching/reacting too
groonga	5.0.8	Fulltext search engine and column store
groonga-normalizer-mysql	1.1.0	MySQL compatible normalizer plugin for Groonga
groovy	2.4.4	Groovy: a Java-based scripting language
groovysdk	2.4.4	SDK for Groovy: a Java-based scripting language
groovyserv	1.0.0	Speed up Groovy startup time
growly	v0.2.0	Redirect command output to a growl notification
grsync	1.2.5	GUI for rsync
gsasl	1.8.0	SASL library command-line interface
gsettings-desktop-schemas	3.18.0	GSettings schemas for desktop components
gsl	1.16	Numerical library for C and C++
gsoap	2.8.18	SOAP stub and skeleton compiler for C and C++
gssdp	0.14.11	GUPnP library for resource discovery and announcement over SSDP
gssh	1.1.5	SSH automation tool based on Groovy DSL
gst-libav	1.6.0	GStreamer plugins for Libav (a fork of FFmpeg)
gst-plugins-bad	1.6.0	GStreamer plugins (less supported, missing docs, not fully tested)
gst-plugins-base	1.6.0	GStreamer plugins (well-supported, basic set)
gst-plugins-good	1.6.0	GStreamer plugins (well-supported, under the LGPL)
gst-plugins-ugly	1.6.0	GStreamer plugins (well-supported, possibly problematic for distributors)
gst-python	1.6.0	GStreamer Python overrides for gobject-introspection-based pygst bindings
gst-validate	1.6.0	Tools to validate GstElements from GStreamer
gstreamer	1.6.0	GStreamer is a development framework for multimedia applications
gstreamermm	1.4.3	GStreamer C++ bindings
gti	v1.2.0	ASCII-art displaying typo-corrector for commands
gtk+	2.24.28	GUI toolkit
gtk+3	3.16.7	Toolkit for creating graphical user interfaces
gtk-doc	1.24	GTK+ documentation tool
gtk-engines	2.20.2	Themes for GTK+
gtk-gnutella	1.1.3	Share files in a peer-to-peer (P2P) network
gtk-mac-integration	2.0.8	API to integrate GTK OS X applications with the Mac desktop
gtk-murrine-engine	0.98.2	Murrine GTK+ engine
gtkdatabox	0.9.2.0	Widget for live display of large amounts of changing data
gtkextra	3.1.5	Widgets for creating GUIs for GTK+
gtkglext	1.2.0	OpenGL extension to GTK+
gtkmm	2.24.4	C++ interfaces for GTK+ and GNOME
gtkmm3	3.16.0	C++ interfaces for GTK+ and GNOME
gtksourceview	2.10.5	Text view with syntax, undo/redo, and text marks
gtksourceview3	3.18.0	Text view with syntax, undo/redo, and text marks
gtkspell3	3.0.7	Gtk widget for highlighting and replacing misspelled words
gtmess	0.97	Console MSN messenger client
gts	0.7.6	GNU triangulated surface library
gucharmap	3.18.0	GNOME Character Map, based on the Unicode Character Database
guile	2.0.11	GUILE: GNU Ubiquitous Intelligent Language for Extensions
gumbo-parser	v0.9.3	C99 library for parsing HTML5
gupnp	0.20.14	Framework for creating UPnP devices and control points
gupnp-av	0.12.7	Library to help implement UPnP A/V profiles
gupnp-tools	0.8.10	Free replacements of Intel's UPnP tools.
gvp	v0.2.0	Go versioning packager
gwenhywfar	4.13.1	Utility library required by aqbanking and related software
gws	0.1.7	Manage workspaces composed of git repositories
gwt	2.7.0	Google web toolkit
gwyddion	2.41	Scanning Probe Microscopy visualization and analysis tool
gxml	0.6.0	GObject-based XML DOM API
gzrt	0.8	Gzip recovery toolkit
h2	1.4.187	Java SQL database
h264bitstream	0.1.9	Library for reading and writing H264 video streams
h2o	v1.4.5	HTTP server with support for HTTP/1.x and HTTP/2
hachoir-metadata	1.3.3	Extract metadata from video, music and other files
hackrf	v2015.07.2	Low cost software radio platform
hadoop	2.7.1	Framework for distributed processing of large data sets
halibut	1.1	Yet another free document preparation system
hamlib	1.2.15.3	Ham radio control libraries
hamsterdb	2.1.10	Database for embedded devices
haproxy	1.5.14	Reliable, high performance TCP/HTTP load balancer
harbour	3.0.0	Portable, xBase-compatible programming language and environment
hardlink	0.3.0	Replace file copies using hardlinks
hardlink-osx	v0.1.1	Command-line utility that implements hardlinks on OS X
harfbuzz	1.0.3	OpenType text shaping engine
hashcash	1.22	Proof-of-work algorithm to counter denial-of-service (DoS) attacks
hashpump	v1.2.0	Tool to exploit hash length extension attack
haskell-stack	v0.1.5.0	The Haskell Tool Stack
haxe	3.2.0	Multi-platform programming language
hayai	v1.0.1	C++ benchmarking framework inspired by the googletest framework
hbase	1.0.1.1	Hadoop database: a distributed, scalable, big data store
headphones	v0.5.2	Automatic music downloader for SABnzbd
hebcal	v3.18	Perpetual Jewish calendar for the command-line
hello	2.10	Program providing model for GNU coding standards and practices
help2man	1.47.2	Automatically generate simple man pages
henplus	0.9.8	SQL shell that can handle multiple sessions in parallel
hercules	3.10	System/370, ESA/390 and z/Architecture Emulator
heroku-toolbelt	3.42.22	Everything you need to get started with Heroku
herrie	2.2	Minimalistic audio player built upon Ncurses
hevea	2.23	LaTeX-to-HTML translator
hexcurse	1.58	Ncurses-based console hex editor
hexedit	1.2.13	View and edit files in hexadecimal or ASCII
hfsutils	3.2.6	Tools for reading and writing Macintosh volumes
hg-flow	v0.9.8	Development model for mercurial inspired by git-flow
hh	1.17	Bash and zsh history suggest box
hicolor-icon-theme	0.15	Fallback theme for FreeDesktop.org icon themes
hidapi	0.8.0	Library for communicating with USB and Bluetooth HID devices
highlight	3.23	Convert source code to formatted text with syntax highlighting
highlighting-kate	0.5.15	Haskell syntax highlighting library, based on the Kate editor
hilite	1.5	CLI tool that runs a command and highlights STDERR output
hiredis	v0.13.3	Minimalistic client for Redis
hive	1.2.1	Hadoop-based data summarization, query, and analysis
hoedown	3.0.1	Secure Markdown processing (a revived fork of Sundown)
homebank	5.0.5	Manage your personal accounts at home
honcho	v0.6.6	Python clone of Foreman, for managing Procfile-based applications
horndis	rel7	USB tethering driver for OS X
hornetq	2.4.0	Multi-protocol, embeddable, clustered, asynchronous messaging system
hostdb	1.004	Generate DNS zones and DHCP configuration from hostlist.txt
hping	3.20051105	Command-line oriented TCP/IP packet assembler/analyzer
hqx	1.1	Magnification filter designed for pixel art
hr	1.1	<hr />, for your terminal window
ht	2.1.0	Viewer/editor/analyzer for executables
html-xml-utils	6.7	Tools for manipulating HTML and XML files
html2text	1.3.2a	Advanced HTML-to-text converter
htmlcleaner	2.10	HTML parser written in Java
htmlcompressor	1.5.3	Minify HTML or XML
htmlcxx	0.85	Non-validating CSS1 and HTML parser for C++
htmldoc	1.8.28	Convert HTML to PDF or PostScript
htop-osx	0.8.2.7	Improved top (interactive process viewer) for OS X
htpdate	0.9.1	Synchronize time with remote web servers
http-parser	v2.5.0	HTTP request/response parser for c
http_load	20140814	Test throughput of a web server by running parallel fetches
httperf	0.9.0	Tool for measuring webserver performance
httpie	0.9.2	User-friendly cURL replacement (command-line HTTP client)
httping	2.4	Ping-like tool for HTTP requests
httpry	0.1.8	Packet sniffer for displaying and logging HTTP traffic
httptunnel	3.3	Tunnels a data stream in HTTP requests
httrack	3.48.21	Website copier/offline browser
hub	v2.2.1	Add GitHub support to git on the command-line
hubflow	1.5.2	GitFlow for GitHub
hugo	v0.14	Configurable static site generator
hunspell	1.3.3	Spell checker and morphological analyzer
hydra	8.1	Network logon cracker which supports many services
hyperestraier	1.4.13	Full-text search system for communities
hyperspec	7.0	Common Lisp ANSI-standard Hyperspec
i2p	0.9.21	I2P is an anonymous overlay network - a network within a network
i2util	1.2	Internet2 utility tools
iat	0.1.7	Converts many CD-ROM image formats to ISO9660
ibex	2.1.16	C++ library for constraint processing over real numbers.
ical-buddy	v1.8.10	Get events and tasks from the OS X calendar database
icarus-verilog	0.9.7	Verilog simulation and synthesis tool
icbirc	2.0	Proxy IRC client and ICB server
icdiff	1.7.3	Improved colored diff
ice	v3.6.0.	Comprehensive RPC framework
icecast	2.4.2	Streaming MP3 audio server
icecream	1.0.1	Distributed compiler with a central scheduler to share build load
icon	9.5.1	General-purpose programming language
icon-naming-utils	0.8.90	Script to handle icon names in desktop icon themes
icoutils	0.31.0	Create and extract MS Windows icons and cursors
icu4c	55.1	C/C++ and Java libraries for Unicode and globalization
id3ed	1.10.4	ID3 tag editor for MP3 files
id3lib	3.8.3	ID3 tag manipulation
id3tool	1.2a	ID3 editing tool
id3v2	2-0.1.12	ID3v2 editing tool
idcomments	0.18	Extract comments from an internet-draft
ideviceinstaller	1.1.0	Cross-platform library and tools for communicating with iOS devices
idnits	2.13.02	Looks for problems in internet draft formatting
idris	v0.9.19	Pure functional programming language with dependent types
idutils	4.6	ID database and query tools
ievms	v0.3.1	Automated installation of Microsoft IE AppCompat virtual machines
ifstat	1.1	Tool to report network interface bandwidth
iftop	1.0pre4	Display an interface's bandwidth usage
ii	1.7	Minimalist IRC client
ike-scan	1.9	Discover and fingerprint IKE hosts
ilmbase	2.2.0	OpenEXR ILM Base libraries (high dynamic-range image file format)
imagejs	0.7.1	Tool to hide JavaScript inside valid image files
imagemagick	6.9.6-8	Tools and libraries to manipulate images in many formats
imagesnap	v0.2.5	Tool to capture still images from an iSight or other video source
imageworsener	1.2.0	Utility and library for image scaling and processing
imap-uw	2007f	University of Washington IMAP toolkit
imapfilter	v2.6.1	IMAP message processor/filter
imapsync	1.607	Migrate or backup IMAP mail accounts
imessage-ruby	v0.3.1	Command-line tool to send iMessage
imgur-screenshot	v1.5.4	Take screenshot selection, upload to imgur. + more cool things
imlib2	1.4.7	Image loading and rendering library
influxdb	v0.9.4.1	Time series, events, and metrics database
iniparser	3.1	Library for parsing ini files
innoextract	1.4	Tool to unpack installers created by Inno Setup
innotop	1.9.1	Top clone for MySQL
ino	0.3.6	Command-line toolkit for working with Arduino hardware
inspircd	v2.0.20	Modular C++ Internet Relay Chat daemon
intercal	0.30	Esoteric, parody programming language
internetarchive	0.8.5	Python wrapper for the various Internet Archive APIs
intltool	0.51.0	String tool
io	2013.12.04	Small prototype-based programming language
iodine	0.7.0	Tool for tunneling IPv4 data through a DNS server
ioke	0.4.0	Dynamic language targeted at virtual machines
ioping	0.9	Tool to monitor I/O latency in real time
ios-class-guard	0.6	Objective-C obfuscator for Mach-O executables
ios-sim	3.1.1	Command-line application launcher for the iOS Simulator
ios-webkit-debug-proxy	1.5	DevTools proxy for iOS devices
iozone	3_430	File system benchmark tool
ip_relay	0.71	TCP traffic shaping relay application
ipbt	20141026.2197432	Program for recording a UNIX terminal session
ipcalc	0.41	Calculate various network masks, etc. from a given IP address
ipe	7.1.8	Drawing editor for creating figures in PDF or PS formats
iperf	2.0.5	Tool to measure maximum TCP and UDP bandwidth
iperf3	3.0.11	Update of iperf: measures TCP, UDP, and SCTP bandwidth
ipfs	v0.3.7	IPFS is The Permanent Web - A new peer-to-peer hypermedia protocol
iphotoexport	1.6.4	Export and synchronize iPhoto library to a folder tree
ipinfo	1.1	Tool for calculation of IP networks
ipmitool	1.8.15	Utility for IPMI control with kernel driver or LAN interface
ipmiutil	2.9.5	IPMI server management utility
iprint	1.3	Provides a print_one function
ipsumdump	1.85	Summarizes TCP/IP dump files into a self-describing ASCII format easily readable
ipv6calc	0.94.1	Small utility for manipulating IPv6 addresses
ipv6toolkit	v2.0	Security assessment and troubleshooting tool for IPv6
ircd-hybrid	8.2.8	High-performance secure IRC server
ircd-irc2	2.11.2p3	Original IRC server daemon
ircii	20150903	IRC and ICB client
irods	3.3.1	Integrated data grid software solution
irrlicht	1.8.1	Realtime 3D engine
irrtoolset	5.0.1	Tools to work with Internet routing policies
irssi	0.8.17	Modular IRC client
isc-dhcp	4.3.3	Production-grade DHCP solution
isl	0.18	Integer Set Library for the polyhedral model
isl011	0.11.1	Integer Set Library for the polyhedral model
isl014	0.14	Integer Set Library for the polyhedral model
iso-codes	3.61	ISO language, territory, currency, script codes, and their translations
ispc	v1.8.0	Compiler for SIMD programming on the CPU
ispell	3.4.00	International Ispell
isync	1.2.0	Synchronize a maildir with an IMAP server
itex2mml	1.5.1	Text filter to convert itex equations to MathML
itpp	4.3.1	Library of math, signal, and communication classes and functions
itstool	2.0.2	Make XML documents translatable through PO files
ivy	2.4.0	Agile dependency manager
jack	0.124.1	Jack Audio Connection Kit (JACK)
jags	3.4.0	Just Another Gibbs Sampler for Bayesian MCMC simulation
jailkit	2.17	Utilities to create limited user accounts in a chroot jail
jam	2.6	Make-like build tool
jansson	2.7	C library for encoding, decoding, and manipulating JSON
jasmin	2.4	Assembler for the Java Virtual Machine
jasper	1.900.1	Library for manipulating JPEG-2000 images
javarepl	282	Read Eval Print Loop (REPL) for Java
jbake	2.4.0	Java based static site/blog generator
jbig2dec	0.12	JBIG2 decoder and library (for monochrome documents)
jbig2enc	0.28	JBIG2 encoder (for monochrome documents)
jbigkit	2.1	JBIG1 data compression standard implementation
jboss-as	7.1.1	JBoss Application Server
jboss-forge	2.19.2	Tools to help set up and configure a project
jcal	0.4.1	UNIX-cal-like tool to display Jalali calendar
jdnssec-tools	0.12	Java command-line tools for DNSSEC
jed	0.99-19	JED is a powerful editor for programmers
jemalloc	3.6.0	malloc implementation emphasizing fragmentation avoidance
jena	2.12.1	Framework for building semantic web and linked data apps
jenkins	1.631	Extendable open source continuous integration server
jenkins-job-builder	1.3.0	Configure Jenkins jobs with YAML files stored in Git
jenv	0.4.3	Manage your Java environment
jerm	0.8096	Communication terminal through serial and TCP/IP interfaces
jetty	9.3.3	Java servlet engine and webserver
jetty-runner	9.2.2	Use Jetty without an installed distribution
jhead	3.00	Extract Digicam setting info from EXIF JPEG headers
jhiccup	1.3.7	Measure pauses and stalls of an app's Java runtime platform
jigdo	0.7.3	Tool to distribute very large files over the internet
jing	20091111	RELAX NG validator
jless	382+iso262+ext03	Jless file pager supporting ISO2022
jlog	2.0.1	Pure C simple durable message queue with subscribers and publishers for logs
jmeter	2.13	Load testing and performance measurement application
jmxtrans	249	Tool to connect to JVMs and query their attributes
jnettop	0.13.0	View hosts/ports taking up the most network traffic
joe	4.0	Joe's Own Editor (JOE)
john	1.8.0	Featureful UNIX password cracker
john-jumbo	1.8.0	Enhanced version of john, a UNIX password cracker
jooby-bootstrap	0.2.2	Script to simplify the creation of jooby apps
jove	4.16.0.73	Emacs-style editor with vi-like memory, CPU, and size requirements
jp2a	1.0.6	Convert JPG images to ASCII
jpeg	v9d	JPEG image manipulation library
jpeg-archive	2.1.1	Utilities for archiving JPEGs for long term storage
jpeg-turbo	1.4.1	JPEG image codec that aids compression and decompression
