a2ps	4.14	Any-to-PostScript filter
aspell	0.60.6.1	Spell checker with better logic than ispell
assimp	3.1.1	Portable library for importing many well-known 3D model formats
astyle	2.05.1	Source code beautifier for C, C++, C#, and Java
at-spi2-atk	2.14.1	Accessibility Toolkit GTK+ module
at-spi2-core	2.14.1	Protocol definitions and daemon for D-Bus at-spi
atdtool	1.3	Command-line interface for After the Deadline language checker
aterm	2.8	AfterStep terminal emulator
atf	0.21	ATF: Automated Testing Framework
atk	2.18.0	GNOME accessibility toolkit
atkmm	2.22.7	Official C++ interface for the ATK accessibility toolkit library
atomicparsley	0.9.6	MPEG-4 command-line tool
atool	0.39.0	Archival front-end
ats2-postiats	0.2.3	ATS programming language implementation
aubio	0.4.2	Extract annotations from audio signals
audiofile	0.3.6	Reads and writes many common audio file formats
augeas	1.4.0	Configuration editing tool and API
auto-scaling	1.0.61.6	Client interface to the Amazon Auto Scaling web service
autobench	2.1.2	Automatic webserver benchmark tool
autoconf	2.69	Automatic configure script builder
autoconf-archive	2015.02.24	Collection of over 500 reusable autoconf macros
autoenv	v0.1.0	Per-project, per-directory shell environments
autogen	5.18.4	Automated text file generator
autojump	V22.2.4	Shell extension to jump to frequently used directories
automake	1.15	Tool for generating GNU Standards-compliant Makefiles
automoc4	0.9.88	Tool to add rules for generating Qt moc files
automysqlbackup	v3.0-rc6	Automate MySQL backups
autopano-sift-c	2.5.1	Find control points in overlapping image pairs
autopsy	2.24	Graphical interface to Sleuth Kit investigation tools
autossh	1.4e	Automatically restart SSH sessions and tunnels
autotrace	0.31.1	Convert bitmap to vector graphics
avce00	2.0.0	Make Arc/Info (binary) Vector Coverages appear as E00
avian	v1.2.0	Lightweight VM and class library for a subset of Java features
avidemux	2.6.8	Multiformat video editor that cuts, filters, and encodes
aview	1.3.0rc1	ASCII-art image browser and animation viewer
avra	1.3.0	Assember for the Atmel AVR microcontroller family
avrdude	6.1	Atmel AVR MCU programmer
avro-c	1.7.7	Data serialization system
avro-cpp	1.7.7	Data serialization system
avro-tools	1.7.7	Avro command-line tools and utilities
awf	v1.3.0	awf (A Widget Factory) is a theme preview application for gtk2 and gtk3
aws-cfn-tools	1.0.12	Client for Amazon CloudFormation web service
aws-cloudsearch	2-2.0.1.0-2014.10.27	Client for Amazon CloudSearch web service
aws-elasticache	1.12.000	Client for Amazon ElastiCache web service
aws-elasticbeanstalk	3.5.4	Client for Amazon Elastic Beanstalk web service
aws-sns-cli	2013-09-27	Client for Amazon Simple Notification web service
awscli	1.8.8	Official Amazon AWS command-line interface
axel	2.4	Light UNIX download accelerator
b43-fwcutter	019	Extract firmware from Braodcom 43xx driver files
babeld	1.6.2	Loop-avoiding distance-vector routing protocol
babl	0.1.12	Dynamic, any-to-any, pixel format translation library
backupninja	1.0.1	Backup automation tool
bacula-fd	7.0.5	Network backup solution
bagit	4.9.0	Library for creation, manipulation, and validation of bags
balance	3.57	Software load balancer
bam	0.4.0	Build system that uses Lua to describe the build process
baobab	3.16.1	Gnome disk usage analyzer
bar	1.4	Provide progress bars for shell scripts
baresip	0.4.13	Modular SIP useragent
base64	1.5	Encode and decode base64 files
basex	8.3	Light-weight XML database and XPath/XQuery processor
bash	4.4	Bourne-Again SHell, a UNIX command interpreter
bash-completion	1.3	Programmable bash completion
bash-git-prompt	2.3.5	Informative, fancy bash prompt for Git users
bashdb	4.3-0.91	Bash shell debugger
bashish	2.2.4	Theme environment for text terminals
batik	1.8	Java-based toolkit for SVG images
bats	v0.4.0	TAP-compliant test framework for Bash scripts
bazaar	2.6.0	Human-friendly source code management (or 'version control')
bbcolors	1.0.1	Save and load color schemes for BBEdit and TextWrangler
bbe	0.2.2	Sed-like editor for binary files
bbftp-client	3.2.1	Secure file transfer software, optimized for large files
bchunk	1.2.0	Convert CD images from .bin/.cue to .iso/.cdr
bcpp	20131209	C(++) beautifier
bcrypt	1.1	Cross platform file encryption utility using blowfish
bdw-gc	7.4.2	Garbage collector for C and C++
beansdb	v0.6	Yet another distributed key-value storage system
beanstalk	v1.10	Generic work queue originally designed to reduce web latency
bear	2.0.4	Generate compilation database for clang tooling
beecrypt	4.2.1	C/C++ cryptography library
berkeley-db	6.1.26	High performance key/value database
berkeley-db4	4.8.30	High performance key/value database
betty	V0.1.7	English-like interface for the command-line
bfg	1.12.5	Removes large files or passwords from Git history like git-filter-branch does, but faster.
bgpdump	1.4.99.15	A  C library for analyzing MRT/Zebra/Quagga dump files
bgpq3	v0.1.31	bgp filtering automation for Cisco and Juniper routers
bgrep	0.2	Like grep but for binary strings
bib-tool	2.61	Manipulates BibTeX databases
bibclean	2.16	BibTeX bibliography file pretty printer and syntax checker
bibtex2html	1.98	BibTeX to HTML converter
bibtexconv	1.1.3	BibTeX file converter
bibutils	5.6	Bibliography conversion utilities
bigdata	1.5.1	Graph database supporting RDF data model, Sesame, and Blueprint APIs
bigloo	4.1a-2	Scheme implementation with object system, C, and Java interfaces
bind	9.10.3	Implementation of the DNS protocols
binutils	2.25.1	FSF Binutils for native development
binwalk	v2.0.1	Searches a binary image for embedded files and executable code
bip	0.8.9	IRC proxy
bison	3.0.4	Parser generator
bitchx	1.2.1	BitchX IRC client
bitlbee	3.4.1	IRC to other chat networks gateway
bitrise	1.1.2	Command-line automation tool
bittwist	2.0	Libcap-based Ethernet packet generator
blahtexml	0.9	Converts equations into Math ML
blazeblogger	1.2.0	CMS for the command-line
blink1	v1.97	Control blink(1) indicator light
blitz	0.10	C++ class library for scientific computing
blitzwave	v0.8.0	C++ wavelet library
blockhash	0.1	Perceptual image hash calculation tool
bltool	0.2.1	Tool for command-line interaction with backloggery.com
blucat	0.9	netcat for Bluetooth
blueutil	v1.0.0	Get/set bluetooth power and discoverable state
bmake	20150606	Portable version of NetBSD make(1)
bmon	3.8	Interface bandwidth monitor
bogofilter	1.2.4	Mail filter via statistical analysis
bokken	1.6	GUI for the Pyew and Radare projects
bonnie++	1.97	Benchmark suite for file systems and hard drives
boost	1_58_0	Collection of portable C++ source libraries
boost-bcp	1_58_0	Utility for extracting subsets of the Boost library
boost-build	2014.10	C++ build system
boost-python	1_58_0	C++ library for C++/Python interoperability
boot-clj	2.2.0	Build tooling for Clojure
boot2docker	v1.8.0	Lightweight Linux for Docker
botan	1.10.10	Cryptographic algorithms and formats library in C++
box2d	v2.3.1	2D physics engine for games
boxes	v1.1.2	Draw boxes around text
bpm-tools	0.3	Detect tempo of audio files using beats-per-minute (BPM)
brag	1.4.3	Download and assemble multipart binaries from newsgroups
brew-gem	v0.5.2	Install rubygems as homebrew formulas
brew-pip	0.4.1	Install pip packages as homebrew formulas
briss	0.9	Crop PDF files
bro	2.4	Network security monitor
browser	7	Pipe HTML to a browser
bsdconv	11.3.1	Charset/encoding converter library
bsdiff	4.3	Generate and apply patches to binary files
bsdmake	24	BSD make (build tool)
bsdsfv	1.18	SFV utility tools
bsponmpi	0.3	Implements the BSPlib standard on top of MPI
btparse	0.34	BibTeX utility libraries
btpd	0.16	BitTorrent protocol daemon
buildapp	1.5.5	Creates executables with SBCL
bulk_extractor	1.5.5	Stream-based forensics tool
bullet	2.83.6	Physics SDK
bup	0.27	Backup tool
burl	1.0.1	Shell script wrapper that offers helpful shortcuts for curl(1)
burp	1.4.28	Network backup and restore
bvi	1.4.0	Vi-like binary file (hex) editor
bwctl	1.5.4	Command-line tool and daemon for network measuring tools
bwm-ng	0.6.1	Console-based live network and disk I/O bandwidth monitor
byacc	20141128	(Arguably) the best yacc variant
byobu	5.94	Text-based window manager and terminal multiplexer
bzr-fastimport	0.13.0	Bazaar plugin for fast loading of revision control
c-ares	1.10.0	Asynchronous DNS library
c-kermit	9.0.302	Scriptable network and serial communication for UNIX and VMS
cabal-install	1.22.6.0	Command-line interface for Cabal and Hackage
cabextract	1.6	Extract files from Microsoft cabinet files
cabocha	0.69	Yet Another Japanese Dependency Structure Analyzer
cadaver	0.23.3	Command-line client for DAV
caddy	v0.7.5	Alternative general-purpose HTTP/2 web server
cadubi	1.3	Creative ASCII drawing utility
caf	0.14.2	Implementation of the Actor Model for C++
cairo	1.14.8	Vector graphics library with cross-device output support
cairomm	1.11.2	Vector graphics library with cross-device output support
cake	v0.5.4	Cake (C# Make) is a build automation system with a C# DSL.
calabash	1.1.4-96	XProc (XML Pipeline Language) implementation
calc	2.12.5.0	Arbitrary precision calculator
calcurse	4.0.0	Text-based personal organizer
camellia	2.7.0	Image Processing & Computer Vision library written in C
camlistore	0.8	Content-addressable multi-layer indexed storage
camlp4	4.02+6	Tool to write extensible parsers in OCaml
camlp5	6.14	Camlp5 is a preprocessor and pretty-printer for OCaml
capnp	0.5.3	Data interchange format and capability-based RPC system
capstone	3.0.4	Multi-platform, multi-architecture disassembly framework
carthage	0.8	Decentralized dependency manager for Cocoa
cask	v0.7.2	Emacs dependency management
casperjs	1.0.4	Navigation scripting and testing tool for PhantomJS
cassandra	2.2.0	Eventually consistent, distributed key-value store
cattle	1.2.0	Brainfuck language toolkit
caudec	1.7.5	Covert audio files from one format to another
cayley	v0.4.1	Graph database inspired by Freebase and Knowledge Graph
cbmbasic	1.0	Commodore BASIC V2 as a scripting language
cc65	2.13.3	6502 C compiler
ccache	3.2.3	Object-file caching compiler wrapper
ccal	2.5.3	Create Chinese calendars for print or browsing
ccat	v1.0.0	Like cat but displays content with syntax highlighting
ccd2iso	0.3	Convert CloneCD images to ISO images
ccextractor	0.75	Free, GPL licensed closed caption tool
cclive	0.7.16	Command-line video extraction utility
ccm	2.0.3	Create and destroy an Apache Cassandra cluster on localhost
cconv	0.6.2	Iconv based simplified-traditional Chinese conversion tool
ccrypt	1.10	Encrypt and decrypt files and streams
cctools	855	Binary and cross-compilation tools for Apple
cctools-headers	855	cctools-headers via Apple
ccze	0.2.1	Robust and modular log colorizer
cd-discid	1.4	Read CD and get CDDB discid information
cdargs	1.35	Bookmarks for the shell
cdb	0.75	Create and read constant databases
cdecl	2.5	Turn English phrases to C or C++ declarations
cdk	5.0.20141106	Curses development kit provides predefined curses widget for apps
cdlabelgen	4.3.0	CD/DVD inserts and envelopes
cdparanoia	10.2	Audio extraction tool for sampling CDs
cdpr	2.4	Cisco Discovery Protocol Reporter
cdrdao	1.2.3	Record CDs in Disk-At-Once mode
cdrtools	3.01	CD/DVD/Blu-ray premastering and recording software
center-im	4.22.10	Text-mode multi-protocol instant messaging client
cereal	v1.1.2	C++11 library for serialization
ceylon	1_1_0	Programming language for writing large programs in teams
cf	1.2.5	Filter to replace numeric timestamps with a formated date time
cfengine	3.7.0	Help manage and understand IT infrastructure
cfitsio	3.370	C access to FITS data files with optional Fortran wrappers
cflow	1.4	Generate call graphs from C code
cfr-decompiler	0_102	Yet Another Java Decompiler.
cfv	1.18.3	Test and create various files (e.g., .sfv, .csv, .crc., .torrent)
cgal	4.6.3	CGAL: Computational Geometry Algorithm Library
cgdb	0.6.8	Curses-based interface to the GNU Debugger
cgrep	v6.4.12	Context-aware grep for source code
cgvg	1.6.3	Command-line source browsing tool
chadwick	0.6.4	Chadwick tools for parsing Retrosheet MLB play-by-play files.
chapel	1.11.0	Emerging programming language designed for parallel computing
charm-tools	1.7.0	Tools for authoring and maintaining juju charms
chcase	2.0	Perl file-renaming script
cheat	2.1.14	Create and view interactive cheat sheets for *nix commands
check	0.10.0	C unit testing framework
check_postgres	2.22.0	Monitor Postgres databases
checkbashisms	2.15.8	Checks for bashisms in shell scripts
checkstyle	6.9	Check Java source against a coding standard
cherokee	1.2.103	Cherokee web server
chgems	v0.3.2	chroot for Ruby gems
chibi-scheme	0.7.3	Small footprint Scheme for use as a C Extension Language
chicken	4.10.0	Compiler for the Scheme programming language
chinadns-c	1.3.2	Port of ChinaDNS to C: fix irregularities with DNS in China
chipmunk	7.0.1	2D rigid body physics library written in C
chisel	1.2.0	Collection of LLDB commands to assist debugging iOS apps
chkrootkit	0.50	Rootkit detector
chmlib	0.40	Library for dealing with Microsoft ITSS/CHM files
chordii	4.5.1	Text file to music sheet converter
chromaprint	1.2	Core component of the AcoustID project (Audio fingerprinting)
chrome-cli	1.5.0	Control Google Chrome from the command-line
chromedriver	2.19	Tool for automated testing of webapps across many browsers
chruby	v0.3.9	Ruby environment tool
chruby-fish	v0.6.0	Thin wrapper around chruby to make it work with the Fish shell
chuck	1.3.5.1	Concurrent, on-the-fly audio programming language
cidrmerge	1.5.3	CIDR merging with white listing (network exclusion)
cifer	1.2.0	Work on automating classical cipher cracking in C
cig	v0.1.5	CLI app for checking the state of your git repositories
cimg	1.6.3	C++ toolkit for image processing
cityhash	1.1.1	Hash functions for strings
cjdns	v16.1	Advanced mesh routing system with cryptographic addressing
cksfv	1.3.14	File verification utility
clamav	0.98.7	Anti-virus software
clamz	0.5	Download MP3 files from Amazon's music store
clang-format	2015-07-31	C, C++, Obj-C, Java, JavaScript, TypeScript formatting tools and editor plugins
clang-omp	2015-04-01	OpenMP C/C++ language extensions in Clang/LLVM compiler
clasp	3.1.3	Answer set solver for (extended) normal logic programs
class-dump	3.5	Utility for examining the Objective-C segment of Mach-O files
classads	1.0.10	Classified Advertisements (used by HTCondor Central Manager)
clean	3.4	Search for files matching a regex and delete them
clearlooks-phenix	6.0.3	GTK+3 port of the Clearlooks Theme
clens	0_7_0	Library to help port code from OpenBSD to other operating systems
cless	0.3.0.0	Display file contents with colorized syntax highlighting
clhep	2.2.0.8	Class Library for High Energy Physics
clib	1.4.2	Package manager for C programming
cliclick	3.1	Tool for automating emulated mouse clicks
clipper	0.2	Share OS X clipboard with tmux and other local and remote apps
clipsafe	1.1	Command-line interface to Password Safe
clisp	2.49	GNU CLISP, a Common Lisp implementation
cln	1.3.4	CLN: Class Library for Numbers
cloc	1.64	Statistics utility to count lines of code
clockywock	0.3.1a	Ncurses analog clock
clojurescript	1.7.48	Clojure to JS compiler
cloog	0.18.3	Generate code for scanning Z-polyhedra
cloog-ppl015	0.15.11
cloog018	0.18.0	Generate code for scanning Z-polyhedra
closure-compiler	v20150901	JavaScript optimizing compiler
closure-linter	v2.3.19	Check JavaScript files for style and documentation
cloud-watch	1.0.20.0	Amazon CloudWatch command-line Tool
cloudbees-sdk	1.5.2	Command-line tools to make use of the CloudBees Platform
clozure-cl	1.10	Common Lisp implementation with a long history
clpbar	1.11.1	Command-line progress bar
clucene	2.3.3.4	C++ port of Lucene: high-performance, full-featured text search engine
clutter	1.24.0	Generic high-level canvas library
clutter-gst	3.0.10	ClutterMedia interface using GStreamer for video and audio
clutter-gtk	1.6.4	GTK+ integration library for Clutter
cmake	3.6.3	Cross-platform make
cmatrix	1.2a	Console Matrix
cmigemo	20110227	Migemo is a tool that supports Japanese incremental search with Romaji
cmocka	1.0.1	Unit testing framework for C
cmockery	0.1.2	Unit testing and mocking library for C
cmockery2	v1.3.9	Reviving cmockery unit test framework from Google
cmu-pocketsphinx	0.8	Lightweight speech recognition engine for mobile devices
cmu-sphinxbase	0.8	Lightweight speech recognition engine for mobile devices
cmuclmtk	0.7	Language model tools (from CMU Sphinx)
cmus	v2.7.1	Music player with an ncurses based interface
cntlm	0.92.3	NTLM authentication proxy with tunneling
coccinelle	1.0.0-rc21	Program matching and transformation engine for C code
cocot	1.1-20120313	Code converter on tty
coda-cli	v1.0.5	Shell integration for Panic's Coda
codequery	v0.16.0	Index, query, or search C, C++, Java, Python, Ruby, or Go code
cogl	1.22.0	Low level OpenGL abstraction library developed for Clutter
coin	3.1.3	Retained-mode toolkit for 3D graphics development
collada-dom	2.4.0	C++ library for loading and saving COLLADA data
collectd	5.5.0	Statistics collection and monitoring daemon
colordiff	1.0.15	Color-highlighted diff(1) output
colormake	0.9.20140503	Wrapper around make to colorize the output
colorsvn	0.3.3	Subversion output colorizer
colortail	0.3.4	Like tail(1), but with various colors for specified output
commonmark	0.22.0	Strongly specified, highly compatible implementation of Markdown
compcert	v2.5	CompCert C verified compiler
compface	1.5.2	Convert to and from the X-Face format
concurrencykit	0.4.5	Aid design and implementation of concurrent systems
confuse	2.7	Configuration file parser library written in C
conserver	8.2.1	Allows multiple users to watch a serial console at the same time
consul	v0.5.2	Tool for service discovery, monitoring and configuration
contacts	1.1a-3	Command-line tool to access OS X's Contacts (formerly 'Address Book')
convertlit	1.8	Convert Microsoft Reader format eBooks into open format
convmv	2.0	Filename encoding conversion tool
cookiecutter	1.0.0	Utility that creates projects from templates
coq	8.4pl6	Proof assistant for higher-order logic
corelocationcli	2.0.0	Prints location information from CoreLocation
coreutils	8.30	GNU File, Shell, and Text utilities
corkscrew	2.0	Tunnel SSH through HTTP proxies
couchdb	1.6.1	CouchDB is a document database server
couchdb-lucene	v1.0.2	Full-text search of CouchDB documents using Lucene
couchpotatoserver	2.6.3	Download movies automatically
cowpatty	4.6	Offline dictionary attack for WPA-PSK, WPA2-PSK networks
cowsay	3.03	Configurable talking characters in ASCII art
cpanminus	1.7039	Get, unpack, build, and install modules from CPAN
cpansearch	0.2	CPAN module search written in C
cpmtools	2.20	Tools to access CP/M file systems
cpp-netlib	0.11.2	C++ libraries for high level network programming
cppcheck	1.70	Static analysis of C and C++ code
cppcms	1.0.5	Free High Performance Web Development Framework
cppformat	1.1.0	Open-source formatting library for C++
cppi	1.18	Indent C preprocessor directives to reflect their nesting
cpptest	1.1.2	Unit testing framework handling automated tests in C++
cppunit	1.13.2	Unit testing framework for C++
cpputest	3.7.2	C /C++ based unit xUnit test framework
cproto	4.7m	Generate function prototypes for functions in input files
cpulimit	v0.1	CPU usage limiter
cputhrottle	20100515	Limit the CPU usage of a process
cracklib	2.9.5	LibCrack password checking library
crash	1.3.1	Kernel debugging shell for Java that allows gdb-like syntax
creduce	2.3.0	Reduce a C/C++ program while keeping a property of interest
crf++	0.58	Conditional random fields for segmenting/labeling sequential data
crm114	20100106	Examine, sort, filter or alter logs or data streams
cronolog	1.6.2	Web log rotation
crosstool-ng	1.21.0	Tool for building toolchains
crunch	3.6	Wordlist generator
crush-tools	20150716	Command-line tools for processing delimited text data
cryptol	v2.2.4	Domain-specific language for specifying cryptographic algorithms
cryptopp	5.6.2	Free C++ class library of cryptographic schemes
crystal	v0.5.1	Code generator for every language, library and framework
crystax-ndk	10.2.1	Drop-in replacement for Google's Android NDK
cscope	15.8a	Tool for browsing source code
csfml	2.3	SMFL bindings for C
csmith	2.2.0	Generates random C programs conforming to the C99 standard
cspice	65	Observation geometry system for robotic space science missions
css-crush	v2.4.0	Extensible PHP based CSS preprocessor
cssembed	0.4.5	Automatic data URI embedding in CSS files
csshx	0.74	Cluster ssh tool for Terminal.app
csup	20120305	Rewrite of CVSup in C
csv-fix	1.6	CSVfix is a tool for manipulating CSV data
csvprintf	1.0.3	Command-line utility for parsing CSV files
csync	0.50.0	File synchronizer especially designed for normal users
ctags	5.8	Reimplementation of ctags(1)
ctail	0.1.0	Tool for operating tail across large clusters of machines
ctemplate	2.3	Template language for C++
ctl	1.5.2	Programming language for digital color management
ctorrent	dnh3.3.2	BitTorrent command-line client
ctunnel	0.7	Cryptographic or plain tunnels for TCP/UDP connections
cuetools	1.4.1	Utilities for .cue and .toc files
cunit	2.1-3	Lightweight unit testing framework for C
cups-pdf	2.6.1	Print-to-PDF feature through CUPS
curaengine	15.04	C++ 3D printing GCode generator
curl	7.50.3	Get a file from an HTTP, HTTPS or FTP server
curl-ca-bundle	2021-09-30
curlish	1.22	Curl wrapper that adds support for OAuth 2.0
curlpp	v0.7.3	C++ wrapper for libcURL
cutter	1.2.5	Unit Testing Framework for C and C++
cuty_capt	0.0.6	Converts web pages to vector/bitmap images using WebKit
cvc4	1.4	Open-source automatic theorem prover for SMT 
cvs	1.12.13	Version control system
cvs2svn	2.4.0	Tool for converting from CVS to Subversion
cvsps	3.13	Create patchset information from CVS
cvsutils	0.2.6	CVS utilities for use in working directories
cvsync	0.24.19	Portable CVS repository synchronization utility
cweb	3.64ad	Literate documentation system for C, C++, and Java
cxxtest	4.4	CxxTest Unit Testing Framework
cyassl	v3.4.8	Embedded SSL Library written in C
cyrus-sasl	2.1.22
czmq	3.0.2	High-level C binding for ZeroMQ
d-bus	1.10.0	Message bus system, providing inter-application communication
daemon	0.6.4	Turn other processes into daemons
daemonize	1.7.6	Run a command as a UNIX daemon
daemonlogger	1.2.1	Network packet logger and soft tap daemon
daemontools	0.76	Collection of tools for managing UNIX services
dante	1.4.1	SOCKS server and client, implementing RFC 1928 and related standards
daq	2.0.6	Network intrusion prevention and detection system
dar	2.4.17	Backup directory tree and files
darcs	2.10.0	Distributed version control system that tracks changes, via Haskell
dark-mode	1.0.1	Toggle the Dark Mode (in OS X 10.10) from the command-line
darkhttpd	1.10	Small static webserver without CGI
darkice	1.2	Live audio streamer
darkstat	3.0.719.	Network traffic analyzer
dash	0.5.8	POSIX-compliant descendant of NetBSD's ash (the Almquist SHell)
dasm	2.20.11-2014.03.04	Macro assembler with support for several 8-bit microprocessors
dateutils	0.3.3	Tools to manipulate dates with a focus on financial data
datomic	0.9.5302	Database separating transactions, storage and queries
davix	0.5.0	Library and tools for advanced file I/O with HTTP-based protocols
davmail	4.5.1-2303	POP/IMAP/SMTP/Caldav/Carddav/LDAP exchange gateway
dbacl	1.14.1	Digramic Bayesian classifier
dbus-glib	0.104	GLib bindings for the D-Bus message bus system
dc3dd	7.1.614	Patched GNU dd that is intended for forensic acquisition of data
dcal	0.1.0	dcal(1) is to cal(1) what ddate(1) is to date(1)
dcd	v0.7.0	Auto-complete program for the D programming language
dcfldd	1.3.4-1	Enhanced version of dd for forensics and security
